Indicator Name,Indicator Value,Governorates,District,Topic,x,y,Year,Name,GOVERNORATE_ID
death rate,29,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
injury rate,77,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Per capita green space - square meters per person,1.3,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Per capita share of squares and public places,10.4,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Percentage of accidents incurred by non-Saudi,39,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Percentage of road accidents for Saudi,49,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Percentage of serious accidents outside cities,74,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Percentage of serious accidents within cities,43,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
suicide mortality rate,25,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
"The homicide rate per 100,000 population",2.4,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
"The number of traffic accident injuries per 100,000 people",116,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Theft crime rate,82,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Traffic accident death rate,54.6,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
Traffic accident injury rate,22,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2017,محافظة رأس تنورة,00507
accidents outside cities,54,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
accidents within cities,60,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Average number of death resulting from traffic accidents (age: 1-15 years),19.5,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Average number of injuries resulting from traffic accidents (age more than 36 years),112.8,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Average number of injuries resulting from traffic accidents (age: 1-15 years),106.8,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Average number of injuries resulting from traffic accidents (age: 16-35 years),213.2,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
death rate,19,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
injury rate,65,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Per capita green space - square meters per person,3.9,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Per capita share of squares and public places,7.8,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Percentage of accidents incurred by non-Saudi,86,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Percentage of road accidents for Saudi,34,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Percentage of serious accidents outside cities,48,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Percentage of serious accidents within cities,62,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
suicide mortality rate,25,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
"The homicide rate per 100,000 population",3.6,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
"The number of traffic accident injuries per 100,000 people",96,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Theft crime rate,98,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Traffic accident death rate,26.6,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
Traffic accident injury rate,50,Buqayq,Buqayq,Livability,49.51493518,26.14095716,2017,محافظة بقيق,00508
accidents outside cities,26,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
accidents within cities,74,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Average number of death resulting from traffic accidents (age: 1-15 years),16.9,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Average number of injuries resulting from traffic accidents (age more than 36 years),62.4,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Average number of injuries resulting from traffic accidents (age: 1-15 years),51.6,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Average number of injuries resulting from traffic accidents (age: 16-35 years),249.6,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
death rate,29,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
injury rate,66,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Per capita green space - square meters per person,2.6,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Per capita share of squares and public places,7.8,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Percentage of accidents incurred by non-Saudi,53,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Percentage of road accidents for Saudi,86,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Percentage of serious accidents outside cities,72,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Percentage of serious accidents within cities,51,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
suicide mortality rate,34,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
"The homicide rate per 100,000 population",1.2,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
"The number of traffic accident injuries per 100,000 people",157,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Theft crime rate,118,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Traffic accident death rate,54.6,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
Traffic accident injury rate,30,Alnuayriyah,Al Nuayriyah,Livability,48.50992707,26.91517793,2017,محافظة النعيرية,00509
accidents outside cities,29,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
accidents within cities,40,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Average number of death resulting from traffic accidents (age: 1-15 years),11.7,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Average number of injuries resulting from traffic accidents (age more than 36 years),33.6,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Average number of injuries resulting from traffic accidents (age: 1-15 years),57.6,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Average number of injuries resulting from traffic accidents (age: 16-35 years),63.7,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
death rate,34,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
injury rate,63,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Per capita green space - square meters per person,1.3,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Per capita share of squares and public places,13,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Percentage of accidents incurred by non-Saudi,39,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Percentage of road accidents for Saudi,26,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Percentage of serious accidents outside cities,42,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Percentage of serious accidents within cities,44,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
suicide mortality rate,57,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
"The homicide rate per 100,000 population",3.6,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
"The number of traffic accident injuries per 100,000 people",205,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Theft crime rate,119,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Traffic accident death rate,53.2,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
Traffic accident injury rate,90,Qaryah alulya,Qaryah Al Ulya,Livability,47.3392897,27.16597557,2017,محافظة القرية العليا,00510
accidents outside cities,47,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
accidents within cities,48,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Average number of death resulting from traffic accidents (age: 1-15 years),16.9,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Average number of injuries resulting from traffic accidents (age more than 36 years),115.2,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Average number of injuries resulting from traffic accidents (age: 1-15 years),39.6,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Average number of injuries resulting from traffic accidents (age: 16-35 years),80.6,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
death rate,34,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
injury rate,68,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Per capita green space - square meters per person,3.9,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Per capita share of squares and public places,11.7,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Percentage of accidents incurred by non-Saudi,64,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Percentage of road accidents for Saudi,81,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Percentage of serious accidents outside cities,41,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Percentage of serious accidents within cities,70,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
suicide mortality rate,74,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
"The homicide rate per 100,000 population",1.2,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
"The number of traffic accident injuries per 100,000 people",22,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Theft crime rate,145,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Traffic accident death rate,28,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
Traffic accident injury rate,77,Addammam,null,Livability,52.83786863,21.99674552,2018,الدمام,00500
accidents outside cities,41,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
accidents within cities,30,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Average number of death resulting from traffic accidents (age: 1-15 years),19.5,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Average number of injuries resulting from traffic accidents (age more than 36 years),111.6,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Average number of injuries resulting from traffic accidents (age: 1-15 years),62.4,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Average number of injuries resulting from traffic accidents (age: 16-35 years),120.9,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
death rate,29,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
injury rate,76,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Per capita green space - square meters per person,1.3,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Per capita share of squares and public places,6.5,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Percentage of accidents incurred by non-Saudi,41,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Percentage of road accidents for Saudi,60,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Percentage of serious accidents outside cities,38,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Percentage of serious accidents within cities,59,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
suicide mortality rate,32,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
"The homicide rate per 100,000 population",2.4,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
"The number of traffic accident injuries per 100,000 people",276,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Theft crime rate,124,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Traffic accident death rate,46.2,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
Traffic accident injury rate,80,Alahsa,Al Ahsa,Livability,49.48735584,22.33361633,2018,محافظة الأحساء,00501
accidents outside cities,89,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
accidents within cities,48,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Average number of death resulting from traffic accidents (age: 1-15 years),3.9,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Average number of injuries resulting from traffic accidents (age more than 36 years),79.2,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Average number of injuries resulting from traffic accidents (age: 1-15 years),105.6,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Average number of injuries resulting from traffic accidents (age: 16-35 years),205.4,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
death rate,32,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
injury rate,72,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Per capita green space - square meters per person,1.3,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Per capita share of squares and public places,10.4,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Percentage of accidents incurred by non-Saudi,67,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Percentage of road accidents for Saudi,84,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Percentage of serious accidents outside cities,70,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Percentage of serious accidents within cities,48,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
suicide mortality rate,73,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
"The homicide rate per 100,000 population",2.4,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
"The number of traffic accident injuries per 100,000 people",223,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Theft crime rate,75,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Traffic accident death rate,47.6,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
Traffic accident injury rate,46,Hafar albatin,Hafar Al Batin,Livability,46.199112,28.17684342,2018,محافظة حفر الباطن,00502
accidents outside cities,23,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
accidents within cities,56,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Average number of death resulting from traffic accidents (age: 1-15 years),5.2,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Average number of injuries resulting from traffic accidents (age more than 36 years),66,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Average number of injuries resulting from traffic accidents (age: 1-15 years),96,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Average number of injuries resulting from traffic accidents (age: 16-35 years),213.2,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
death rate,35,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
injury rate,73,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Per capita green space - square meters per person,2.6,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Per capita share of squares and public places,9.1,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Percentage of accidents incurred by non-Saudi,31,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Percentage of road accidents for Saudi,66,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Percentage of serious accidents outside cities,42,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Percentage of serious accidents within cities,59,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
suicide mortality rate,25,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
"The homicide rate per 100,000 population",1.2,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
"The number of traffic accident injuries per 100,000 people",142,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Theft crime rate,149,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Traffic accident death rate,35,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
Traffic accident injury rate,54,Aljubayl,Al Jubayl,Livability,49.33950845,27.00163279,2018,محافظة الجبيل,00503
accidents outside cities,62,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
accidents within cities,88,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Average number of death resulting from traffic accidents (age: 1-15 years),14.3,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Average number of injuries resulting from traffic accidents (age more than 36 years),68.4,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Average number of injuries resulting from traffic accidents (age: 1-15 years),84,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Average number of injuries resulting from traffic accidents (age: 16-35 years),154.7,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
death rate,20,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
injury rate,65,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Per capita green space - square meters per person,2.6,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Per capita share of squares and public places,3.9,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Percentage of accidents incurred by non-Saudi,43,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Percentage of road accidents for Saudi,63,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Percentage of serious accidents outside cities,58,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Percentage of serious accidents within cities,66,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
suicide mortality rate,32,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
"The homicide rate per 100,000 population",2.4,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
"The number of traffic accident injuries per 100,000 people",65,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Theft crime rate,98,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Traffic accident death rate,63,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
Traffic accident injury rate,76,Alqatif,Al Qatif,Livability,49.84154847,26.60038469,2018,محافظة القطيف,00504
accidents outside cities,65,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
accidents within cities,54,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Average number of death resulting from traffic accidents (age: 1-15 years),13,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Average number of injuries resulting from traffic accidents (age more than 36 years),82.8,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Average number of injuries resulting from traffic accidents (age: 1-15 years),91.2,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Average number of injuries resulting from traffic accidents (age: 16-35 years),122.2,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
death rate,28,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
injury rate,74,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Per capita green space - square meters per person,2.6,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Per capita share of squares and public places,7.8,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Percentage of accidents incurred by non-Saudi,53,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Percentage of road accidents for Saudi,55,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Percentage of serious accidents outside cities,55,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Percentage of serious accidents within cities,47,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
suicide mortality rate,27,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
"The homicide rate per 100,000 population",3.6,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
"The number of traffic accident injuries per 100,000 people",175,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Theft crime rate,73,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Traffic accident death rate,71.4,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
Traffic accident injury rate,84,Alkhubar,Al Khubar,Livability,50.15485218,26.19918576,2018,محافظة الخبر,00505
accidents outside cities,50,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
accidents within cities,20,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Average number of death resulting from traffic accidents (age: 1-15 years),13,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Average number of injuries resulting from traffic accidents (age more than 36 years),91.2,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Average number of injuries resulting from traffic accidents (age: 1-15 years),26.4,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Average number of injuries resulting from traffic accidents (age: 16-35 years),204.1,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
death rate,24,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
injury rate,68,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Per capita green space - square meters per person,1.3,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Per capita share of squares and public places,11.7,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Percentage of accidents incurred by non-Saudi,89,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Percentage of road accidents for Saudi,84,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Percentage of serious accidents outside cities,51,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Percentage of serious accidents within cities,57,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
suicide mortality rate,56,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
"The homicide rate per 100,000 population",3.6,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
"The number of traffic accident injuries per 100,000 people",213,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Theft crime rate,136,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Traffic accident death rate,53.2,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
Traffic accident injury rate,57,Alkhafji,Al Khafji,Livability,48.17477691,28.15171774,2018,محافظة الخفجي,00506
accidents outside cities,78,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
accidents within cities,77,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
Average number of death resulting from traffic accidents (age: 1-15 years),3.9,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
Average number of injuries resulting from traffic accidents (age more than 36 years),115.2,Ras Tannurah,Ras Tannurah,Livability,49.94809211,26.77873967,2018,محافظة رأس تنورة,00507
